instance,seed,arm,objective,violations,RoomAgeMix,RoomSkillLevel,ContinuityOfCare,ExcessiveNurseWorkload,OpenOperatingTheater,SurgeonTransfer,PatientDelay,ElectiveUnscheduledPatients
i25,5,real,12939,0,75,396,5890,573,1040,55,2360,2550
i26,1,placebo,71499,0,353,1346,15025,2280,850,85,16560,35000
i26,1,real,70802,0,366,1341,14935,2370,860,80,16350,34500
i26,2,placebo,71328,0,337,1321,15125,2080,860,75,16530,35000
i26,2,real,71332,0,364,1328,15010,2370,870,80,16810,34500
i26,3,placebo,70709,0,343,1346,15035,2180,850,85,16870,34000
i26,3,real,71358,0,361,1327,14930,2270,840,90,16540,35000
i26,4,placebo,71203,0,333,1300,14755,2010,850,95,16360,35500
i26,4,real,71334,0,364,1355,14985,2620,860,80,16570,34500
i26,5,placebo,70812,0,323,1324,15025,2300,860,80,16400,34500
i26,5,real,71095,0,354,1296,14975,2310,870,80,16210,35000
i27,1,placebo,63263,0,415,11890,4128,3670,3180,210,14770,25000
i27,1,real,63107,0,384,11260,4088,3950,3150,220,15055,25000
i27,2,placebo,62439,0,387,11080,4067,3100,3150,170,14485,26000
i27,2,real,62931,0,406,11260,4060,3370,3120,180,14535,26000
i27,3,placebo,63052,0,388,11280,4099,3830,3090,210,14655,25500
i27,3,real,62177,0,394,11330,4108,3910,3150,210,15075,24000
i27,4,placebo,63340,0,418,12210,4082,4070,3180,170,14210,25000
i27,4,real,61978,0,419,11050,4069,3820,3180,200,14740,24500
i27,5,placebo,62428,0,409,11700,4119,3850,3150,180,14520,24500
i27,5,real,62405,0,398,11530,4067,3980,3150,230,14550,24500
i28,1,placebo,76170,0,142,350,5915,958,2600,45,2260,63900
i28,1,real,76170,0,142,350,5915,958,2600,45,2260,63900
i28,2,placebo,76237,0,171,280,5980,1001,2600,45,2260,63900
i28,2,real,76237,0,171,280,5980,1001,2600,45,2260,63900
i28,3,placebo,76315,0,157,375,6025,943,2600,45,2270,63900
i28,3,real,76315,0,157,375,6025,943,2600,45,2270,63900
i28,4,placebo,76317,0,155,390,6020,937,2600,45,2270,63900
i28,4,real,76317,0,155,390,6020,937,2600,45,2270,63900
i28,5,placebo,76335,0,142,335,6075,978,2600,45,2260,63900
i28,5,real,76337,0,145,395,6010,972,2600,45,2270,63900
i29,1,placebo,14698,0,900,639,1893,331,710,70,4455,5700
i29,1,real,14068,0,935,652,1885,291,720,40,4745,4800
i29,2,placebo,14927,0,390,599,1842,226,680,30,4860,6300
i29,2,real,14559,0,995,686,1896,282,700,50,4550,5400
i29,3,placebo,14804,0,955,657,1955,367,730,30,4410,5700
i29,3,real,13986,0,930,662,1834,245,720,40,4755,4800
i29,4,placebo,14762,0,935,654,1920,338,710,40,4465,5700
i29,4,real,14070,0,870,661,1953,261,730,30,4765,4800
i29,5,placebo,14717,0,920,650,1893,389,730,30,4405,5700
i29,5,real,14104,0,995,657,1856,286,720,20,4770,4800
i30,1,placebo,39826,0,1320,260,8440,3115,2800,16,7875,16000
i30,1,real,40097,0,1390,260,8230,2953,2800,14,8850,15600
i30,2,placebo,40281,0,1395,210,8395,3083,2840,13,8145,16200
i30,2,real,40582,0,1420,140,8310,3213,2880,14,8805,15800
i30,3,placebo,39839,0,1325,170,8550,3159,2800,15,7620,16200
i30,3,real,40277,0,1440,170,8285,3083,2800,14,8685,15800
i30,4,placebo,39997,0,1310,250,8365,3106,2800,16,7950,16200
i30,4,real,39997,0,1310,250,8365,3106,2800,16,7950,16200
i30,5,placebo,40188,0,1410,220,8495,3257,2880,16,8310,15600
i30,5,real,39922,0,1350,180,8470,3170,2840,17,8295,15600
